"transcript","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37"
"NM_012340",1,0,1,2,1,1,3,0,2,4,0,1,0,1,1,2,1,0,2,1,5,3,2,1,1,1,3,0,1,1,1,1,0,1,2,1,2
"NM_012341",1,2,1,1,1,0,1,2,1,3,1,1,1,2,2,3,1,3,1,1,0,3,2,1,2,1,1,1,3,1,3,1,1,2,6,4,1
"NM_001686",6,5,39,16,10,4,9,4,6,5,5,8,9,22,20,20,9,11,11,29,12,60,9,25,23,3,6,8,13,2,19,8,34,9,100,52,2
"NM_001687",1,1,2,0,1,0,0,1,1,0,1,3,1,5,1,4,0,0,3,1,1,8,0,2,4,0,0,0,1,1,0,2,1,4,21,8,1
"NM_001688",1,1,1,2,0,0,3,0,0,3,0,0,1,1,1,0,1,1,2,3,0,3,0,1,2,0,2,1,0,0,0,1,1,1,2,1,1
"ENST00000531169.1",3,2,5,1,1,0,1,0,1,2,1,0,3,0,0,1,5,0,1,2,0,7,0,1,3,0,0,2,0,1,0,0,2,2,7,3,2
"NM_012338",1,1,2,2,2,1,1,2,7,1,1,1,6,1,1,1,1,0,2,0,1,4,1,3,1,3,2,0,3,1,1,4,2,6,1,1,1
"NM_014997",1,1,2,2,1,0,5,1,1,1,0,1,2,1,1,2,1,2,1,1,1,4,2,2,2,1,1,1,1,4,3,3,1,4,4,2,0
"NM_001690",1,1,8,2,2,2,1,2,1,3,1,4,1,2,1,3,4,3,2,1,3,1,4,4,1,1,1,3,2,1,1,1,2,1,3,3,2
"NM_012334",0,1,1,1,1,2,2,1,2,1,2,1,0,1,1,1,0,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"NM_001693",0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0,4,1,3,2,0
"NM_000362",28,21,60,26,24,12,22,16,12,13,9,11,23,24,37,49,18,22,17,25,23,109,21,25,55,8,11,12,12,7,38,20,39,43,67,46,12
"NM_000346",0,1,1,3,1,1,1,0,2,0,2,0,1,2,1,2,1,2,2,1,1,4,2,1,4,1,0,0,0,3,3,0,3,1,1,1,1
"ENST00000359314.5",3,2,1,2,7,1,1,1,1,5,3,2,1,6,4,3,3,1,3,1,6,2,1,3,3,1,1,1,2,1,1,1,2,3,2,3,1
"NM_001190737",20,22,22,35,25,10,29,27,15,19,6,24,26,25,27,42,23,34,18,16,15,115,25,31,18,17,20,5,12,22,46,29,36,30,42,35,7
"NM_014992",4,14,3,3,3,9,2,1,11,2,17,1,5,1,6,6,3,2,2,1,2,3,4,4,7,15,2,3,1,6,6,6,4,5,20,4,1
"NM_014991",1,1,1,1,6,2,2,1,1,4,1,2,2,1,5,2,1,3,2,2,2,13,1,3,1,3,3,2,1,1,1,7,1,1,1,2,1
"NM_012330",3,2,2,4,2,1,1,9,2,1,1,1,1,1,4,2,1,2,9,1,1,4,6,12,10,18,2,1,11,16,3,2,5,3,3,2,8
"NM_014990",1,2,1,1,3,1,5,2,4,5,5,4,6,5,1,2,5,2,1,1021,1,10,4,4,1,1,3,420,1,1,1,1,1,1,1,4,3
"ENST00000265069.8",18,1,4,3,2,1,2,2,1,3,2,1,5,8,2,20,3,4,2,4,3,3,2,1,2,8,4,15,1,5,2,1,2,3,5,6,1
"NM_001675",6,6,5,10,12,8,6,4,5,2,4,9,10,5,6,6,4,8,9,8,6,12,7,7,12,9,6,4,5,8,8,9,7,7,14,10,1
"ENST00000410080.1",0,3,6,1,2,1,5,6,1,2,2,2,4,8,5,2,4,6,2,3,1,2,1,1,1,1,1,1,0,1,4,1,2,2,3,6,1
"NM_001677",20,18,29,17,23,12,16,13,17,14,13,19,18,21,33,40,23,18,15,14,11,104,18,26,20,16,17,12,12,11,34,26,24,25,66,42,8
"NM_001679",0,1,2,1,1,1,2,0,1,0,0,1,0,1,0,1,0,0,0,0,1,2,1,0,2,0,0,1,1,2,0,1,0,1,1,2,0
"ENST00000538367.1",4,2,4,1,4,3,1,2,5,1,1,0,5,1,3,3,6,2,3,3,5,12,3,2,2,6,0,4,2,2,4,3,5,4,8,5,3
"NM_014988",1,1,3,2,5,1,4,1,8,6,1,2,1,4,8,5,7,1,1,2,1,5,4,3,3,2,3,1,1,3,4,3,1,1,11,11,3
"NM_014987",1,2,2,3,0,3,2,2,2,3,0,1,3,0,6,4,6,1,1,8,0,12,2,3,2,0,3,2,0,2,2,3,5,8,9,6,0
"NM_012325",3,1,1,5,1,2,1,1,1,4,0,1,1,5,3,6,3,6,5,2,2,20,3,3,3,1,1,1,0,2,4,1,6,5,10,6,1
"NM_014984",1,1,2,1,2,0,0,0,0,3,1,0,0,2,0,1,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1
"NM_014983",1,1,2,2,2,0,1,1,2,1,1,1,1,3,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,2
"ENST00000247815.4",1,0,2,1,0,0,1,1,1,0,0,0,0,1,0,0,2,0,1,1,0,1,1,2,1,1,0,0,0,0,1,1,0,3,4,3,1
"NM_012320",0,1,1,1,1,0,0,1,3,0,1,0,0,0,1,0,0,0,0,2,1,6,1,2,2,0,0,1,2,0,1,1,1,1,7,4,1
"NM_012321",3,2,1,2,1,0,1,2,0,2,1,3,2,1,2,5,2,1,1,4,1,10,1,4,5,1,1,0,0,1,5,0,5,5,17,8,1
"NM_014982",1,2,3,1,3,2,2,2,1,5,1,1,2,2,2,5,2,2,3,1,2,12,2,1,3,3,1,1,2,1,3,4,3,4,8,4,2
"NM_000351",2,0,1,2,1,0,0,2,0,1,1,2,1,2,1,6,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0
"NM_012329",0,1,2,1,1,1,1,1,1,0,2,0,2,1,1,1,0,0,1,1,0,3,2,0,1,0,0,0,1,2,1,1,2,1,2,2,0
"NM_001746",1,1,6,1,15,6,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,4,7,3,6,1,13,1,2,37,2,3,1,2,2,1
"NM_000414",5,4,3,5,5,4,2,4,1,1,2,4,7,9,16,9,13,9,11,6,4,11,8,9,9,1,5,5,2,7,10,12,5,8,10,19,3
"NM_001748",1,1,1,1,3,1,1,2,3,2,1,3,2,2,2,6,2,1,1,1,1,5,1,3,2,1,1,1,1,3,1,1,2,5,8,4,1
"NM_001749",1,3,1,1,1,1,1,1,3,1,2,1,1,3,4,1,2,2,3,2,2,5,3,3,4,1,1,1,2,2,2,2,2,8,19,5,1
"NM_001164473",0,1,1,2,0,1,3,2,1,2,0,0,3,2,2,0,4,3,0,0,2,3,2,1,3,5,0,2,2,2,1,2,3,2,1,4,1
"NM_206891",2,4,4,1,1,1,3,1,6,1,2,1,2,1,4,2,5,2,5,1,4,10,1,6,9,2,1,0,1,4,1,5,5,3,6,2,1
"NM_000418",1,0,1,1,2,0,2,1,1,1,0,2,0,0,5,1,1,0,0,0,1,0,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1
"NM_001743",14,8,11,25,5,5,15,8,9,4,4,6,4,9,18,22,2,16,10,17,5,68,16,21,9,1,7,6,5,7,25,11,22,11,30,14,1
"NM_001745",1,0,1,1,1,1,0,1,1,1,1,0,1,2,2,2,1,1,0,2,1,1,1,1,1,1,0,1,1,1,1,3,1,2,5,2,0
"ENST00000261700.3",3,2,4,3,1,1,3,1,3,1,0,1,0,6,3,3,2,3,1,3,4,8,2,3,2,2,0,1,1,5,9,4,6,3,13,7,1
"NM_194455",1,3,4,1,1,2,1,1,1,1,2,1,3,6,2,2,2,1,1,2,1,1,1,2,1,3,3,1,1,2,4,4,1,2,5,3,1
"NM_194458",1,2,2,2,3,0,1,2,2,1,1,1,1,0,1,2,1,1,1,2,1,2,0,1,2,0,1,1,1,1,1,1,2,2,8,7,2
"NM_001735",0,0,1,0,1,0,2,1,1,2,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,2,1,0,1,1,1,2,1,0
"NM_000402",0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2,1,1,0,2,0,0,1,0,0,0,0,1,1,1,2,2
"NM_000400",0,2,2,0,1,2,0,1,1,1,1,1,1,1,1,0,3,1,1,0,1,2,1,1,1,0,0,0,1,3,0,1,1,2,2,1,0
"NM_182488",0,1,2,4,4,1,4,1,1,1,1,1,3,5,3,1,2,3,2,2,1,4,4,2,1,3,3,2,2,6,3,6,2,3,4,3,1
"NM_001164463",28,18,37,31,25,13,20,25,17,24,18,22,27,31,38,36,37,22,22,21,34,91,28,47,23,10,24,14,23,23,52,36,38,40,91,44,23
"ENST00000409985.1",0,0,0,1,0,0,0,0,1,0,1,2,0,2,2,0,2,2,0,0,0,3,0,1,2,0,2,1,1,2,3,2,1,2,1,2,0
"NM_001730",0,0,0,2,2,1,1,1,1,1,0,0,1,0,2,1,1,0,1,1,0,6,0,2,0,1,0,0,1,0,0,2,1,2,0,1,1
"NM_000404",1,1,4,2,1,1,3,1,4,2,2,1,1,2,2,1,6,2,2,1,1,2,1,2,3,1,1,2,4,2,2,2,1,5,6,4,1
"NM_182480",2,1,2,1,2,0,1,0,2,0,1,1,1,1,2,1,1,1,1,1,2,2,3,1,1,1,3,1,1,1,1,0,1,1,3,3,1
"ENST00000326291.6",1,3,1,4,1,1,6,1,6,3,2,7,4,5,2,1,5,4,3,1,2,4,2,4,2,6,1,1,2,6,4,10,4,4,12,6,7
"NM_194460",0,0,1,1,1,0,4,0,0,1,1,0,2,1,2,2,5,1,2,2,2,4,2,3,0,0,0,0,1,4,0,1,0,0,4,2,1
"NM_000436",3,1,4,2,1,1,3,1,3,2,2,1,2,2,1,1,1,1,1,3,2,2,1,6,1,0,1,1,1,3,4,1,2,5,6,4,1
"NM_000435",2,2,6,1,3,4,4,7,5,3,1,1,5,4,8,8,3,2,5,5,6,8,3,8,11,3,3,2,7,6,9,6,8,6,18,10,2
"TCONS_00027290",6,2,0,14,2,0,8,5,7,1,0,3,3,0,0,0,2,4,2,7,0,1,2,7,3,2,1,0,1,0,4,0,2,1,0,2,0
"NM_000430",1,1,2,1,1,17,2,1,1,1,3,1,1,2,1,1,2,1,1,2,3,2,1,1,2,3,1,7,1,1,1,1,3,1,1,1,1
"ENST00000446526.3",1,1,2,3,1,0,1,1,2,0,1,1,0,1,2,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,2,1,2,1,0
"NM_001761",1,0,3,1,0,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,3,2,1,2,1,3
"NM_001762",1,1,9,7,7,5,19,1,6,5,3,1,7,12,8,1,1,6,5,1,4,2,6,1,1,0,2,3,1,6,1,4,2,7,1,1,3
"NM_012414",172,110,1,203,150,1,282,512,92,39,1,122,4,103,1,165,1,87,82,2,47,116,1,162,2,1,1,131,1,1,1,114,1,1,3,73,1
"NM_012415",0,3,5,0,2,0,1,1,3,1,0,3,3,4,8,2,4,2,2,0,1,6,0,6,5,0,4,2,1,3,3,2,3,4,7,6,0
"ENST00000206595.6",5,7,6,5,13,10,6,3,2,2,5,4,6,5,3,1,5,6,9,6,1,12,4,1,1,8,7,11,4,1,1,1,4,1,1,1,1
"ENST00000337743.4",1,1,2,1,1,1,1,1,1,1,0,2,4,1,1,1,4,1,1,3,1,5,1,2,3,1,1,1,0,4,1,6,0,2,2,3,1
"NM_001759",28,33,51,59,26,13,30,9,19,24,18,31,31,43,58,61,36,45,31,60,21,220,59,57,39,11,27,18,24,7,72,24,60,51,197,89,9
"NM_001752",1,3,4,1,0,1,1,1,1,1,1,1,1,1,4,4,0,1,2,1,1,2,3,4,4,1,1,1,1,1,1,1,2,1,5,1,1
"NM_000428",1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,2,0,1,1,1,1,1,0,0,0,1,0,2,1,1,1,1,3,4,0
"NM_001755",1,3,7,4,2,2,3,1,5,6,1,5,3,4,8,6,4,3,3,3,4,7,1,4,1,1,3,2,1,4,2,4,1,6,11,4,2
"NM_000426",33,67,157,1,73,2,1,41,57,64,1,50,117,72,79,94,76,66,50,82,47,268,67,89,114,27,51,2,51,2,91,107,99,141,2,125,30
"ENST00000405898.1",0,2,5,0,1,0,0,4,3,3,1,2,5,1,1,1,4,1,1,2,1,1,1,3,6,1,0,1,2,2,0,5,0,4,4,6,2
"NM_194449",1,1,2,6,2,1,3,1,1,3,5,1,2,2,3,1,2,4,2,1,2,6,2,3,3,1,1,4,4,2,1,3,2,4,11,4,1
"NM_012401",2,5,14,2,1,2,5,1,4,5,2,2,7,15,13,6,3,3,1,9,5,20,8,5,22,1,1,1,6,7,1,7,6,10,61,24,8
"NM_194442",2,3,3,2,1,1,1,3,2,3,1,1,2,6,5,1,3,1,2,3,3,3,5,3,1,0,1,3,1,2,2,6,3,0,9,3,0
"NM_012408",2,2,3,4,2,0,2,1,3,1,3,1,3,3,1,4,2,2,1,0,1,9,3,3,4,1,1,1,2,3,8,1,3,4,7,5,0
"NM_012405",3,1,3,1,1,0,1,0,5,1,2,3,2,2,1,1,7,1,1,1,1,4,1,1,1,0,1,0,1,3,5,2,5,1,8,4,1
"NM_012406",0,1,4,2,1,1,1,1,2,0,1,2,2,1,1,2,1,1,1,2,4,2,2,1,2,1,4,1,2,1,3,2,2,1,4,1,1
"NM_001703",1,1,18,1,1,1,1,2,1,1,1,1,2,1,3,4,1,2,1,3,2,1,1,1,10,0,1,1,2,0,1,1,1,2,1,2,1
"NM_001704",5,5,7,11,9,1,1,12,9,1,3,6,13,7,5,5,14,4,1,3,3,17,9,1,6,1,6,8,8,13,1,13,14,7,10,13,6
"NM_001033925",1,3,3,1,1,1,1,1,2,2,2,6,2,2,5,6,6,1,1,6,3,6,3,2,3,1,1,1,3,4,5,3,5,1,4,3,1
"ENST00000367512.3",13,12,10,23,18,20,10,7,14,7,14,10,10,10,15,11,5,7,9,10,11,12,17,15,10,19,12,18,11,6,15,8,11,21,14,12,2
"NM_001127493",2,3,4,4,2,2,1,2,3,1,1,5,3,1,2,4,1,2,3,4,2,12,3,1,3,1,1,1,1,4,3,2,1,7,2,6,5
"NM_001199021",1,0,0,1,1,0,2,2,0,2,0,0,2,1,2,0,1,0,1,3,0,0,0,3,2,2,0,0,1,1,0,1,4,1,12,3,0
"ENST00000367765.1",1,1,1,1,1,2,1,5,2,1,0,3,1,1,2,3,1,1,1,1,1,4,2,1,1,1,1,1,1,3,3,1,1,2,6,4,1
"ENST00000409998.1",1,2,3,1,2,1,2,1,3,1,1,0,2,2,2,1,1,0,0,1,1,1,0,1,2,2,0,2,1,4,1,3,2,1,5,1,0
"ENST00000544779.1",1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
"NM_001114172",2,6,10,6,2,5,7,2,6,7,5,3,8,5,8,10,3,4,7,3,4,21,3,8,4,2,6,3,7,4,8,6,4,8,17,9,7
"NM_001114176",1,0,1,3,2,1,4,0,3,2,2,3,3,2,4,2,1,2,1,3,2,4,1,0,2,3,1,2,2,1,0,5,4,1,5,1,1
"ENST00000267859.3",0,1,1,1,1,0,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,4,5,1,0
"NM_001033930",2,5,2,1,1,0,1,1,1,4,1,1,1,1,3,3,3,1,0,1,1,7,1,4,3,0,2,1,1,1,2,1,1,2,9,4,1
"NM_001199017",0,2,1,1,1,1,2,2,2,1,0,2,1,2,3,1,2,0,1,1,2,1,1,2,1,0,0,0,1,4,1,3,0,1,4,1,1
"NM_001139457",1,0,2,2,3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,3,2,2,0,1,1,0,3,1,1,2,1,1,2,0
"ENST00000289382.3",2,1,4,5,2,1,1,1,1,1,1,2,1,0,1,3,2,4,1,3,3,11,2,3,2,1,1,2,2,1,4,1,3,2,3,3,1
"NM_001139459",2,0,6,0,4,1,2,1,3,2,1,0,6,6,1,4,5,1,0,0,0,3,4,4,1,1,1,3,0,2,2,3,0,1,2,2,4
"ENST00000304623.8",3,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,4,1,1,3,2,3,0,0,1,2,1,1,2,1,1,1
"NM_001728",2,3,14,8,7,2,5,1,1,4,0,1,11,11,6,22,7,1,2,11,1,39,6,11,1,1,3,2,2,5,14,5,9,12,3,25,1
"NM_001722",0,1,2,1,0,1,0,1,1,0,0,0,1,3,1,3,4,3,1,1,0,2,1,4,1,0,2,1,0,1,1,0,2,1,6,4,0
"NM_001723",3,6,16,11,4,5,4,7,10,17,2,11,16,13,9,19,9,12,5,9,6,31,6,13,16,6,9,3,4,10,18,15,15,12,24,17,10
"ENST00000360803.4",1,0,1,2,0,0,0,1,1,2,1,0,1,2,2,3,1,3,1,0,0,1,1,0,1,1,0,0,2,0,1,1,3,1,2,2,1
"ENST00000261726.6",1,1,3,2,1,0,1,1,4,1,1,1,2,2,4,1,2,3,1,1,2,1,3,3,1,0,0,3,1,5,0,7,1,1,1,1,6
"NM_001139456",5,2,12,5,3,4,21,3,2,3,3,8,17,5,6,6,4,10,4,12,6,8,6,12,8,7,4,5,10,4,1,19,5,8,15,7,3
"NM_001714",2,3,7,2,1,2,1,2,3,1,2,1,2,4,1,1,3,0,0,1,0,1,2,1,5,0,1,1,1,1,2,1,3,0,2,2,0
"ENST00000265175.5",68,1,3,95,1,2,2,205,2,1,46,68,7,77,4,8,4,1,3,5,3,12,3,1,5,34,1,63,2,3,2,1,6,7,1,6,36
"ENST00000401558.2",1,5,9,12,6,5,2,3,4,8,7,3,6,9,11,8,6,7,2,4,3,21,5,8,15,5,4,1,8,4,9,7,6,13,39,23,3
"NM_001718",0,2,4,1,0,0,1,0,4,2,1,1,2,1,1,1,2,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1
"NM_001719",5,1,5,1,1,6,1,1,1,1,5,4,1,1,1,2,2,2,2,1,1,9,20,3,1,1,2,1,1,1,5,2,1,5,9,5,6
"ENST00000359541.2",1,1,2,1,0,1,2,0,2,2,1,0,0,3,2,1,1,0,1,2,1,1,1,2,1,0,1,1,1,0,3,1,1,1,2,2,1
"NM_001711",1,1,1,2,3,1,1,1,2,1,1,1,1,2,0,1,1,1,3,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,4,1,3
"ENST00000495564.1",1,9,6,8,2,2,6,7,5,5,3,3,8,7,2,9,4,6,2,1,4,15,13,8,7,11,4,4,2,5,3,6,9,7,12,5,3
"ENST00000375592.3",1,1,1,0,1,1,1,1,2,0,1,0,2,0,4,0,2,0,2,1,1,0,1,6,1,1,0,1,0,1,1,1,2,0,3,2,1
"NM_133465",3,0,6,4,4,5,5,4,5,4,2,1,5,1,1,9,13,6,4,1,3,8,0,5,1,0,2,2,1,6,3,8,2,8,6,7,3
"NM_133466",2,0,1,0,3,0,1,0,1,1,1,1,1,4,2,3,3,1,0,0,1,3,2,0,1,0,1,2,1,0,2,4,1,2,1,3,1
"NM_133468",1,0,1,0,0,1,1,1,1,1,0,0,2,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,2,0,1,1,1,1
"ENST00000529410.1",0,1,0,0,0,0,1,1,2,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1
"NM_001127457",1,1,1,1,3,0,1,1,3,0,0,1,1,0,0,0,0,1,1,1,0,3,1,0,2,1,1,1,0,1,3,1,3,1,1,1,1
"NM_001020658",1,1,1,2,1,1,1,2,3,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2
"NM_206808",0,0,1,1,1,1,1,2,1,0,0,2,1,0,2,1,1,1,1,1,0,1,2,1,3,1,0,0,0,2,1,1,1,1,2,1,1
"ENST00000261596.4",1,2,1,1,2,1,2,1,1,1,0,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,2,1,2,1,1,0,5,3,1
"NM_001114132",2,3,1,1,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,2,2,2,2,3
"ENST00000551659.1",8,8,21,24,14,13,20,10,6,18,9,22,27,14,15,21,10,14,14,15,1,42,19,18,11,7,8,4,5,15,30,22,10,12,22,19,6
"NM_001127460",1,2,1,0,2,1,0,0,2,2,1,1,2,1,1,2,1,1,0,1,1,4,2,1,1,1,1,0,1,2,1,1,5,3,4,2,0
"NM_001199053",1,1,2,2,1,1,1,1,0,0,1,4,1,1,1,2,1,1,1,0,1,6,1,3,2,0,1,1,2,1,4,1,2,1,2,4,1
"NM_133478",2,1,3,3,1,0,1,1,2,0,3,1,1,2,3,2,3,1,5,1,2,3,0,3,2,1,0,2,0,1,1,1,2,3,6,2,0
"NM_001199058",2,4,9,3,1,0,3,2,7,4,0,3,2,3,4,2,1,4,2,6,5,15,5,2,4,0,3,0,1,1,6,1,7,1,14,6,1
"NM_001114122",5,2,1,1,3,0,1,3,1,4,1,1,0,2,1,1,1,3,1,4,1,7,3,2,2,0,2,1,0,4,2,2,4,4,7,1,1
"NM_001139442",0,1,0,1,0,0,0,3,2,1,0,1,1,2,1,1,1,2,1,0,0,2,0,2,1,0,2,1,0,1,1,1,1,1,2,2,1
"NM_001114120",3,4,7,5,6,0,7,1,1,4,2,7,2,5,3,7,5,7,6,8,6,27,3,4,4,1,3,1,3,1,6,3,2,4,11,7,3
"NM_001114121",4,3,8,1,4,2,6,2,6,3,1,4,1,4,3,6,6,4,3,7,4,9,3,4,5,2,3,2,3,3,7,6,2,4,10,6,3
"NM_133486",0,0,0,1,1,0,2,0,0,1,0,1,0,2,1,0,0,3,1,0,0,1,1,0,0,0,1,3,1,1,0,4,5,1,3,2,0
"NM_001199080",1,0,1,1,0,0,3,2,0,0,1,0,1,2,0,0,0,1,1,2,0,3,3,0,1,0,1,0,1,0,1,0,3,1,0,1,0
"NM_001126103",3,0,6,1,2,1,4,0,1,3,1,1,2,1,5,5,1,8,1,1,1,1,1,2,2,1,1,2,1,2,2,1,8,8,1,7,1
"ENST00000514135.1",1,1,2,5,1,2,4,2,1,3,3,2,5,2,6,2,1,2,2,0,0,3,1,5,4,3,1,1,1,6,3,5,1,4,6,4,2
"NM_133493",5,4,9,9,2,1,5,4,3,0,3,3,1,4,4,11,2,5,4,6,3,12,7,1,8,4,3,1,3,3,10,7,5,6,4,4,2
"ENST00000478199.1",3,3,2,3,4,1,3,1,1,3,0,0,2,2,4,2,2,2,2,2,1,10,2,1,0,1,1,4,0,4,3,3,1,3,2,4,0
"NM_133494",2,4,2,2,5,1,2,2,5,2,5,2,3,4,4,4,4,4,4,6,2,8,1,5,2,4,3,1,3,7,7,7,5,8,15,8,1
"NM_206825",21248,22927,35508,27679,58335,24354,34648,15712,43419,16450,21457,45215,37937,29747,48220,44736,52654,35270,53507,48520,78243,29114,53406,51847,37083,66985,52518,28026,66791,74432,51400,94330,41663,71982,67475,74784,30978
"ENST00000380821.3",1,1,2,1,1,0,1,4,1,2,1,1,2,2,3,3,2,1,1,2,2,2,1,1,3,1,1,1,1,1,4,1,2,1,2,3,1
"ENST00000582985.1",3,0,0,1,0,2,3,1,0,0,1,3,3,1,0,1,0,0,0,9,0,3,4,5,2,3,2,4,2,1,5,0,1,0,2,1,1
"ENST00000360064.6",8,25,40,11,12,8,21,16,22,20,15,12,33,19,23,22,16,12,16,19,14,47,11,24,25,9,12,4,27,29,26,33,10,35,44,34,15
"NM_001030001",10,15,13,21,9,7,4,6,2,8,7,8,7,3,16,30,6,32,5,5,6,37,7,14,7,5,5,0,7,5,25,9,85,19,32,14,3
"ENST00000373238.1",0,1,1,6,2,3,1,0,0,2,1,2,1,1,3,0,1,3,2,4,0,6,2,1,4,0,1,4,1,0,4,1,7,5,7,3,1
"NM_133496",1,1,2,2,1,1,1,1,3,2,1,1,2,1,1,3,1,1,0,1,1,1,2,1,2,2,1,1,1,3,2,3,1,1,1,4,1
"NM_001030007",7693,7753,6641,9511,19155,6079,4950,2802,9720,4590,6639,6482,6303,3923,8047,7836,9075,6682,13585,5204,21283,5837,12494,12567,9988,10879,14040,8022,11397,11274,11667,13757,11619,13512,11918,14519,6179
"NM_001030006",1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,5,4,1,2,1,1,2,3,1,1,1,3,6,2
"ENST00000365504.1",2,0,9,0,2,1,1,1,5,2,1,3,11,1,1,1,3,1,1,0,4,0,2,3,5,0,2,1,2,5,6,2,0,2,7,5,4
"ENST00000256257.1",1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,5,0,1,2,1,0,1,2,0,1,0,1,1,0,0,0,1,2,1,4,1,1
"NM_206839",3,1,2,4,4,2,4,31,1,1,6,3,5,8,6,6,2,2,3,2,3,9,7,4,1,2,4,4,1,1,6,3,8,2,3,5,1
"NM_001127448",1,1,1,0,2,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,1,0,0,0,1,4,5,6,0
"ENST00000261739.4",1,1,2,0,2,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,2,1,1,1,1,1,1,1,1,2,7,2,1
"ENST00000425645.1",0,1,0,1,2,0,0,2,1,0,0,0,1,0,1,1,0,0,0,2,1,2,2,0,0,0,1,1,0,3,0,2,0,2,2,1,0
"ENST00000253159.8",0,4,7,1,2,4,1,2,2,9,2,1,4,4,6,1,6,1,3,2,2,3,3,3,10,5,2,1,3,7,2,5,1,2,9,3,8
"NM_206853",3,7,5,2,2,1,1,2,3,5,4,1,6,2,5,10,4,7,1,4,3,20,11,5,1,1,3,0,1,2,3,11,5,5,3,4,3
"ENST00000216484.2",0,0,2,1,3,1,0,0,2,2,1,1,1,2,0,2,1,0,1,2,1,3,0,2,1,2,0,1,0,0,1,1,1,3,1,1,0
"NM_206854",0,0,0,1,2,0,1,0,1,0,0,0,0,2,1,3,0,1,0,3,0,6,1,0,0,0,2,0,2,0,1,2,0,3,6,5,1
"ENST00000546205.1",3,3,7,5,4,1,4,4,5,2,2,3,9,4,7,5,6,3,3,9,4,6,4,8,6,4,3,2,4,13,7,6,4,8,21,9,1
"ENST00000496788.1",1,0,3,0,0,0,1,0,2,0,0,1,0,1,3,0,2,4,1,0,0,2,1,1,2,1,0,0,1,3,0,0,1,0,4,1,2
"NM_206862",1,5,9,1,3,1,2,3,1,6,0,3,1,1,2,7,4,1,1,1,3,4,2,4,2,4,4,1,2,2,3,1,1,1,5,2,5
"NM_133437",90,196,414,236,163,81,121,95,107,139,64,144,302,228,265,326,174,197,197,252,163,850,235,192,269,43,148,60,170,111,250,224,247,366,841,473,104
"NM_206855",1,1,2,2,19,13,1,1,23,2,16,16,2,1,1,2,24,6,2,3,1,6,23,2,1,15,16,10,3,32,35,1,3,2,5,4,1
"ENST00000450241.2",0,2,5,3,3,1,5,0,1,1,0,1,2,3,1,1,0,0,3,2,3,1,5,4,0,2,1,1,2,0,1,1,3,2,3,3,1
"ENST00000426126.2",0,1,3,1,1,1,3,1,1,2,1,1,3,2,1,2,1,1,1,0,2,1,3,0,3,1,0,2,1,3,1,3,1,5,2,0,2
