,logFC,pvalue,padj
AL031733.2,0.176532765,0.005673776,0.010530393
NEMF,0.156032591,2.52E-05,7.31E-05
WARS2,-0.018970231,0.157003107,0.207511376
SMNDC1,0.040528731,0.000145532,0.000364743
ATF7IP2,0.086325098,5.77E-10,3.83E-09
BMF,0.035350934,0.032660153,0.050588837
MCC,-0.028941227,0.117198818,0.160590323
RGS5,0.013568404,0.299015343,0.363854154
AC010300.1,0.030211556,0.453626703,0.518193629
PPIL4,0.033810715,0.01180693,0.020328736
ANKIB1,0.011764725,0.390420175,0.456738623
AUNIP,-0.080097836,6.28E-07,2.43E-06
FAHD2A,0.008632879,0.255815651,0.317941401
STMN3,0.03007272,0.023979325,0.038220155
GFOD2,-0.029367811,0.000888486,0.001927301
BRCA2,-0.084354263,1.90E-08,9.91E-08
MBTD1,-0.006497139,0.625993981,0.681613655
CNOT6L,0.054647478,0.00064167,0.001422772
MED19,0.057753438,0.040411868,0.061267234
ID2-AS1,-0.127981798,4.02E-09,2.33E-08
RPL35,0.182702339,3.18E-11,2.59E-10
NUP133,-0.010395631,0.394114303,0.460091411
DCP1A,0.035598944,0.007170003,0.012998555
AP000769.1,0.056096796,0.021673342,0.034923206
PTPN18,-0.000722184,0.95663876,0.967083259
ZNF280C,-0.077015221,5.54E-08,2.65E-07
KIT,-0.018142827,0.331553681,0.39754638
PTMS,0.151187608,8.25E-07,3.11E-06
TAF4B,-0.015275106,0.449336722,0.514350643
EIF1B-AS1,0.049362995,0.002514128,0.005005296
CAPN7,0.019501739,0.206137178,0.263804938
ATG16L2,-0.032299285,0.064700127,0.093551369
NDUFB4,0.166998082,2.71E-19,8.12E-18
ACVR1B,-0.100907819,6.37E-17,1.38E-15
MZT2B,0.286308932,5.82E-15,9.03E-14
FBXO45,-0.00584597,0.58811671,0.645856259
BTN2A2,0.031960959,0.074504719,0.106404912
ZEB2,0.000446854,0.970880176,0.977921208
SAMD10,0.011953099,0.469399591,0.532924149
PLA2G12A,0.019064391,0.034854222,0.053517926
ZNF624,-0.009595644,0.525524579,0.587440844
ESCO1,0.04250219,0.009169173,0.016228624
AC108058.1,0.062705979,0.056488965,0.082731349
ORC2,-0.007490283,0.385295013,0.451694036
PCCB,-0.006019184,0.530761502,0.59183932
ITPKC,0.036198853,0.000651363,0.001441707
YIF1A,0.058004379,0.006061779,0.011200627
LRRC42,0.004399903,0.658188152,0.710019581
CACNA1G,-0.30609603,2.39E-27,1.78E-25
BEND3,-0.144069308,6.37E-39,1.87E-36
STX3,-0.076829543,2.75E-12,2.73E-11
NIPAL2,-0.002775672,0.836704813,0.869394028
MAGEH1,0.061047116,1.09E-09,6.90E-09
RPL15,0.098268146,4.81E-10,3.26E-09
SMPD1,0.020323392,0.133572209,0.180290323
TMEM25,-0.028016935,0.004834295,0.009097281
XRRA1,-0.022871894,0.645197928,0.69781303
IGFBP4,0.090926342,1.75E-06,6.25E-06
FAM122B,-0.00456792,0.726513484,0.772379591
ZEB1-AS1,0.022913746,0.044151766,0.066194552
HSPB1,0.199453102,3.61E-13,4.08E-12
CHMP3,0.010208049,0.410696391,0.47666712
CYBA,0.108566275,0.00302403,0.005936454
AC012101.2,-0.01838924,0.490532801,0.5527753
SAP30BP,0.003671301,0.723024748,0.770650978
OCEL1,0.071627751,0.002758968,0.005450352
KIF9,0.052158602,0.000536058,0.001207338
DDHD1,-0.071378214,1.79E-07,7.74E-07
LRRC49,-0.003697098,0.823639906,0.857779532
GRK5,0.048683771,0.002344318,0.004718777
ABCB7,0.054766754,7.95E-12,7.23E-11
RNF125,0.091596668,1.59E-08,8.45E-08
LINC00894,-0.004458897,0.85335366,0.882475346
NFE2,0.016951763,0.617693987,0.673603039
MUS81,0.017897081,0.083484083,0.118148999
SMPD3,-0.022851488,0.209360855,0.267382956
RIC8A,0.004455324,0.529419833,0.590606686
LIPT1,0.052349368,8.32E-05,0.000219475
PPARA,0.047049414,0.000819204,0.001788655
GPR176,0.090165486,4.32E-06,1.45E-05
COL19A1,0.095184112,0.000871822,0.001893619
WASL,0.025454925,0.085150156,0.120268582
ZFP91,0.010443034,0.317414785,0.382888764
MYO1B,0.022936184,0.115856912,0.159013055
MAPKAPK5,-0.010954009,0.178199765,0.232394059
ZNF674,-0.013398134,0.30561292,0.37070951
CLEC3B,0.198106033,9.35E-16,1.72E-14
DEPDC7,0.042701935,0.018678056,0.030599698
SNHG17,-0.041296243,0.141106343,0.189201317
SH3BGRL3,0.055455741,0.024415415,0.038853302
CKS2,0.082985027,3.27E-08,1.64E-07
NTPCR,0.01215313,0.351107096,0.417586937
TFPI2,-0.111729082,1.76E-05,5.24E-05
RPRD1A,-0.024396914,0.052045371,0.076785735
VPS25,0.072087424,1.45E-06,5.27E-06
NFATC1,-0.105397815,5.21E-15,8.16E-14
DNAJC3,0.043661563,0.000122586,0.000312559
AL031714.1,-0.094506855,2.62E-06,9.07E-06
ZDHHC2,0.066790362,0.054586285,0.08017962
DPP3,-0.073366588,5.70E-10,3.79E-09
IL18BP,-0.175925336,1.43E-12,1.47E-11
VEGFC,-0.061157735,5.09E-07,2.01E-06
ATP8B3,0.101043985,7.13E-05,0.000190245
DNTTIP2,0.045202174,0.001567674,0.003249739
AXIN1,-0.018562387,0.088678627,0.124934668
HUS1,-0.010088009,0.275095467,0.338121273
GTF2IP12,-0.064973177,0.004722443,0.008900194
TIGD7,0.045987051,0.007189009,0.013028287
GTPBP3,-0.040201543,0.001744066,0.003575371
METTL23,0.071645829,1.75E-07,7.59E-07
GTF2A2,0.078937518,1.02E-07,4.63E-07
NCOR2,-0.099006699,5.96E-13,6.49E-12
LINC01184,0.046302278,0.003512537,0.006817812
PCDHB15,-0.050489702,0.001293952,0.002734471
FNBP4,-0.016910909,0.115821501,0.159013055
BBC3,0.069310212,3.83E-05,0.000107638
LPL,0.18748422,9.47E-26,5.85E-24
SLC35E2B,-0.133088623,7.65E-08,3.56E-07
ARRB1,-0.076897089,3.35E-09,1.96E-08
COQ4,0.021934031,0.099645331,0.138820466
COL27A1,-0.045156208,0.011046281,0.019210923
ZNF628,-0.020548448,0.249323692,0.310954967
QTRT1,0.025137751,0.17719398,0.231323734
NDOR1,-0.14337509,5.39E-13,5.94E-12
ENPP1,-0.188709418,1.02E-16,2.17E-15
AK1,0.136228556,1.16E-06,4.26E-06
PBK,-0.009078721,0.478338218,0.541351537
BAALC-AS1,-0.205132524,3.36E-30,3.74E-28
TFG,-0.027828825,0.000333504,0.000782873
AC110079.1,-0.163360869,4.28E-08,2.10E-07
PXK,-0.031548487,0.011073762,0.019238641
TMEM106C,0.029081191,1.30E-05,3.98E-05
TRDN-AS1,0.100614035,4.42E-09,2.53E-08
AL118506.1,-0.015733089,0.311487826,0.376830179
AURKB,-0.038952042,0.012547368,0.021507315
PKNOX1,-0.030551095,9.35E-05,0.000244449
RBBP8,0.010504627,0.467711726,0.531490598
EID2,0.003199649,0.74620538,0.790471801
ARID3B,-0.096022287,4.71E-11,3.74E-10
RBM6,-0.048607204,0.000591222,0.001318515
KANK1,-0.007266675,0.469024282,0.532739984
MIR133A1HG,0.15682612,1.77E-11,1.51E-10
SAR1B,0.048266559,5.23E-08,2.51E-07
DLGAP4,-0.063620661,1.96E-07,8.42E-07
LDHB,0.204563681,1.11E-11,9.78E-11
AC004846.1,-0.028730365,0.127383005,0.172746141
MYZAP,0.196876151,5.39E-41,1.93E-38
SNU13,0.028506961,0.10596415,0.146724107
CTXND1,0.153507593,7.72E-05,0.000204545
MRPL16,0.075679296,8.89E-11,6.72E-10
SNN,-0.083841271,4.13E-13,4.61E-12
TMEM132A,-0.130807915,2.44E-13,2.86E-12
NTM,0.042842862,0.034520924,0.053043829
EFS,-0.071652221,2.48E-07,1.03E-06
CLNS1A,0.015027683,0.065736106,0.094857296
RGCC,0.259738,1.38E-34,2.30E-32
ZNF682,-0.073111498,3.18E-07,1.30E-06
SCAMP2,-0.010691822,0.395035238,0.46095127
CLEC16A,-0.073658305,1.28E-11,1.12E-10
SHISA6,-0.046861177,0.030865118,0.048061535
TBC1D23,0.039363713,0.004794061,0.009028363
AP4S1,0.023671949,0.021660842,0.034914317
TBXA2R,0.133858852,5.01E-10,3.37E-09
HSPA13,0.011100841,0.620181539,0.675873517
SESN1,0.062759079,1.52E-09,9.43E-09
GSTO1,0.154562094,1.74E-14,2.49E-13
AMFR,0.00538186,0.500735439,0.562946813
MRPL44,0.005021505,0.541404252,0.60142663
PLAAT1,0.046037165,0.007690503,0.013856762
ZNF846,-0.00983061,0.512852692,0.574733842
CNPY2,0.029246598,0.199840961,0.256469406
ITGB8,0.151403737,3.59E-12,3.44E-11
COPS7A,0.026642665,0.000324801,0.00076316
UBE2V1,-0.125892603,6.69E-07,2.57E-06
WDR45,0.042847431,1.98E-05,5.83E-05
ANKRD52,-0.114588357,3.06E-12,3.01E-11
ANOS1,0.064184137,0.000161589,0.000402248
HCFC1R1,0.166562331,6.12E-09,3.43E-08
PHLPP2,-0.053027417,0.00021251,0.000516051
COX7C,0.208566661,4.97E-17,1.10E-15
DYNLT1,0.134630929,1.52E-13,1.85E-12
FADS1,-0.026263465,0.012961617,0.022164188
TMED2,0.025608854,0.01620714,0.027002899
TBC1D15,0.052619688,0.000734588,0.001615189
LINC00963,-0.010923244,0.519593483,0.581460925
GAMT,0.107662978,7.08E-05,0.000188983
Z97634.1,0.053368456,0.094445258,0.132165208
CENPO,-0.101096782,5.79E-18,1.41E-16
GIMAP2,0.176230538,1.05E-14,1.56E-13
SIAE,-0.007529617,0.53126437,0.592135945
BANCR,0.194510531,9.94E-13,1.05E-11
BCAS3,-0.014662043,0.210632806,0.268870061
NEGR1,0.235077051,3.20E-10,2.25E-09
HARS2,-0.014860242,0.06188776,0.089900872
AP001528.3,0.119691582,2.32E-14,3.25E-13
KCNJ8,0.162185653,1.15E-28,9.92E-27
DCUN1D4,0.02177173,0.102638221,0.142632324
YTHDC2,-0.050018857,0.000273088,0.000652695
PDK2,-0.033360771,0.023426118,0.037409961
PDCD2,0.025215585,0.003773498,0.007270709
PLBD1,0.062977951,2.78E-12,2.75E-11
KAT14,-0.050169808,1.68E-07,7.31E-07
RAB4A,0.022479874,0.001704262,0.003500949
KCNJ4,0.023143755,0.259122449,0.32117309
POMT1,0.02926181,0.009909031,0.017402584
COLQ,-0.174023624,4.47E-24,2.48E-22
CHCHD5,0.122116066,1.19E-05,3.68E-05
ZNF605,-0.016496107,0.153050632,0.202984924
GRID1,-0.096871041,5.56E-10,3.71E-09
ZNF22,0.083408474,5.69E-13,6.24E-12
ZNF211,-0.020723007,0.081522313,0.115732983
HJURP,-0.043926892,3.91E-07,1.58E-06
SLC12A6,0.044595658,0.006306267,0.011600932
MTERF3,0.053290306,3.64E-07,1.47E-06
SLC35D1,-0.073928995,0.000164856,0.000409275
TSPY26P,-0.069743911,4.07E-13,4.55E-12
CYB5A,0.100712452,3.45E-12,3.34E-11
VAMP3,0.00617395,0.476897995,0.540333102
WLS,-0.047002884,1.78E-07,7.70E-07
LNPK,0.020244325,0.120376786,0.164265919
DCTN6,0.085706975,1.25E-12,1.30E-11
MTDH,0.054223591,0.000402836,0.00092922
MYOCD,-0.059394847,2.94E-08,1.49E-07
PCSK6,-0.038095819,0.054346525,0.079874375
TMEM11,0.041490573,0.009951309,0.017470697
CTSH,0.155865326,5.26E-16,1.01E-14
C11orf1,0.106386673,1.62E-12,1.64E-11
MYL5,-0.057954261,0.005745768,0.010660053
GAB3,0.106809948,1.11E-19,3.45E-18
LRRC52-AS1,0.217601495,6.87E-19,1.95E-17
SETMAR,0.050675945,4.07E-06,1.37E-05
ARHGAP29,0.031758674,0.067987979,0.097880764
ANKRD17,0.040240167,0.017034385,0.028146822
ADORA1,0.039055975,0.003444247,0.006698263
FST,-0.053347561,0.027009058,0.04253395
RBM26,0.059745939,5.20E-08,2.50E-07
ATAD3B,-0.02219216,0.196154777,0.252581479
TUBA1A,0.010372819,0.457273362,0.521406342
ADGRL2,-0.03005047,0.106214828,0.147030492
TSC2,-0.092188229,6.37E-11,4.95E-10
PHRF1,-0.06078161,7.54E-06,2.42E-05
EMC7,0.095853017,6.36E-15,9.75E-14
TRIB3,0.055163013,0.001696919,0.003489085
GMEB2,-0.04337253,2.19E-05,6.42E-05
FNIP2,0.090886709,8.48E-08,3.89E-07
PPP3CA,0.050586421,0.000389984,0.000902324
NUP210,-0.164649553,3.15E-27,2.29E-25
CCM2,0.011271807,0.39100824,0.457212629
MYO5A,0.008372687,0.602309818,0.659415171
DOK3,-0.106532715,1.30E-09,8.11E-09
PHKB,0.006922403,0.477552339,0.540829856
FBXO34,8.21E-06,0.999506797,0.999506797
BTN3A2,0.040305542,0.020197382,0.032798606
WDR66,-0.070517747,9.44E-05,0.000246237
PCAT19,-0.022662845,0.136879158,0.184076329
ARL16,0.031420184,0.141536107,0.189726685
LGALS3,0.236017444,5.94E-26,3.71E-24
WASF2,-0.024490289,0.032965052,0.050982141
CD99L2,-0.01800941,0.053976424,0.079423813
WSCD2,0.039690366,0.218503673,0.277641262
CAMTA1,0.087255237,4.91E-07,1.95E-06
PAXIP1,-0.075976037,1.67E-08,8.85E-08
POLI,-0.001545217,0.921153208,0.938215213
TRIM66,-0.080059313,0.009580928,0.016891622
FAM8A1,0.023221831,0.181944164,0.236229764
MAGIX,0.095461536,3.71E-05,0.00010445
C6orf136,0.084629851,1.21E-05,3.73E-05
AQP10,-0.122121656,8.83E-06,2.81E-05
CCNF,-0.126299626,2.29E-18,5.77E-17
CCDC68,-0.098300464,6.37E-07,2.46E-06
ADAM9,-0.070006467,0.04230973,0.063815581
RTL6,-0.072150179,2.74E-07,1.14E-06
OPLAH,0.053029203,0.000164434,0.000408496
PDE7B,-0.037729296,0.024376796,0.038804197
ZNF595,0.012395825,0.367865427,0.434931931
SLC37A1,-0.062201078,0.00048464,0.001098345
ZMAT4,0.008183401,0.768604091,0.810250992
TRIB1,-0.170272368,1.67E-38,4.16E-36
CANT1,-0.026306431,0.00818015,0.01464402
GAS5,-0.009990361,0.6160286,0.672226757
RNF135,-0.006076995,0.641252754,0.694146735
HSPBP1,0.108737811,6.35E-07,2.46E-06
AL136171.1,-0.046338418,0.012063131,0.020755559
PARVA,-0.034109136,6.58E-07,2.54E-06
RPAP2,-0.016167476,0.148624068,0.198059792
ITLN1,-0.033819864,0.456009488,0.520202473
PLPBP,-0.007198894,0.17003833,0.222971846
SLCO2A1,-0.27172062,9.53E-40,2.98E-37
POLR3C,-0.034308094,3.05E-07,1.26E-06
PIBF1,0.04848318,0.001775546,0.003633946
SSU72,0.005464851,0.702060398,0.7511881
CXXC4,0.014974818,0.425316017,0.491467549
NPEPPS,0.007421943,0.26690725,0.329677928
FBRSL1,-0.014360894,0.304709445,0.370062479
RPL14P1,0.036152183,0.025997996,0.041045146
PARTICL,0.079037013,1.25E-05,3.83E-05
MAD2L1,-0.003928532,0.781705544,0.821464422
ZCCHC18,-0.016494431,0.334276701,0.400235513
DGCR2,-0.000915766,0.931925467,0.946501591
RGS6,0.08013624,2.62E-05,7.59E-05
CREB3L1,0.008689923,0.57390374,0.632052577
FLAD1,0.011323199,0.397341353,0.462993887
FCHSD1,-0.131835401,4.75E-17,1.06E-15
SEC61A2,-0.073213292,2.11E-15,3.62E-14
SIGMAR1,-0.039110814,0.002334793,0.004701557
ST3GAL6,0.027081507,0.019352865,0.031581046
CTC1,-0.076166841,6.92E-07,2.66E-06
GATA6,0.045826661,1.16E-07,5.20E-07
HOXB3,-0.021187467,0.265382662,0.328037901
GRPEL2,0.017301508,0.084673993,0.119629829
PSMA2,0.106356958,2.61E-06,9.06E-06
EFNB1,-0.002334675,0.804849907,0.841365155
ERGIC2,0.064117169,1.76E-05,5.25E-05
DIP2A,-0.050263654,0.000192756,0.000472906
FLYWCH1,0.018500045,0.363883199,0.431039089
SSBP2,0.015058463,0.107491492,0.148633147
TBL3,0.049622168,0.004543609,0.008602061
BOLA1,0.147689428,1.41E-12,1.45E-11
LSM4,0.064217471,5.59E-05,0.000151362
PRKCH,-0.000525313,0.966072793,0.974956101
ZNF362,-0.009629253,0.195008051,0.251363819
E2F4,-0.03876582,3.15E-06,1.08E-05
SLAIN1,0.022531177,0.193367874,0.249442562
MTA3,-0.047548822,1.72E-10,1.26E-09
ZNF121,0.010421072,0.253718713,0.315727618
DDX17,-0.035684953,0.017158111,0.028323063
MYL2,0.20111867,4.42E-15,7.07E-14
DPP8,0.030076671,8.88E-05,0.000233066
ATP1B3,-0.038233989,9.72E-05,0.000253354
SMIM10L2B,0.019150187,0.123080179,0.167684168
AL049840.1,-0.012237332,0.706640164,0.755603255
GULP1,0.058258456,0.002116145,0.004281961
PAPLN,-0.166220991,2.58E-08,1.32E-07
LRRC41,-0.040738543,1.15E-08,6.22E-08
PDPR,-0.0777138,0.000420732,0.000964982
TARS2,-0.020803798,0.04472088,0.066967475
ANAPC7,-0.023021601,0.016956407,0.028054942
PCM1,0.038364471,0.007251982,0.013118636
NXT2,0.01698922,0.316081396,0.381637694
RSBN1,0.074651945,6.18E-06,2.01E-05
YWHAZ,-0.000616746,0.949018221,0.960156031
EI24,0.054856478,6.15E-06,2.01E-05
KDM2B,-0.079356782,1.82E-18,4.68E-17
RIMKLA,0.026452629,0.012802546,0.021899668
LRRC3,0.085562873,2.13E-09,1.28E-08
ADCYAP1R1,-0.196859872,0.000418938,0.000961309
BCAS2,0.015172696,0.082860827,0.117399868
SAP30,0.088276134,1.48E-13,1.80E-12
AC245452.1,-0.052763344,0.016326526,0.027174644
KLHL18,-0.038607178,0.000323922,0.000761452
NKAPD1,0.04223439,0.002727897,0.005395367
GNA12,-0.049922084,1.55E-06,5.58E-06
ZNF148,0.071560505,1.55E-07,6.82E-07
ACTC1,0.013013725,0.378282051,0.444828376
GSTP1,0.080692595,0.000759341,0.001664491
ERP44,0.0202315,0.029829862,0.046638308
FRMD4B,-0.002220095,0.881967205,0.905882503
OIP5,-0.014758457,0.252686234,0.314599395
CAVIN4,0.03537658,0.020892047,0.033805902
MBNL1,0.047457995,0.001446335,0.003025806
TMEM167B,0.047576139,3.16E-06,1.08E-05
ESF1,0.153466308,3.17E-05,9.02E-05
MTUS1,-0.037811607,0.010836173,0.01888493
SMIM10L2A,0.019917766,0.10585017,0.146606884
COQ8B,0.020025801,0.112982968,0.155666806
CEP83,0.06867543,4.11E-07,1.65E-06
PABPC1,-0.056611104,1.34E-17,3.15E-16
ZNF431,-0.014134315,0.111916029,0.154409533
ARF4,0.001686381,0.870783089,0.896789999
TOPORS,0.056615163,0.000128648,0.000326188
ZC3H3,0.029082832,0.135104998,0.182033142
ZNF84,-0.009149772,0.375793621,0.442214193
CPLANE2,0.000274597,0.985610105,0.988774182
SETDB2,0.028699467,0.011616836,0.020029028
JAK1,-0.023893016,0.048677217,0.072328703
YPEL2,-0.001544978,0.903729642,0.923681155
MCU,-0.059951257,1.41E-12,1.45E-11
NIPBL,0.034799923,0.002675854,0.005298722
EPG5,0.004750854,0.750657439,0.79430883
AFG3L1P,-0.093893943,6.65E-09,3.70E-08
RIOK1,0.006501503,0.709242241,0.757737437
RMI1,-0.061625363,6.56E-05,0.000176437
NTMT1,-0.012330175,0.373653991,0.440110707
AC083799.1,0.08056423,4.76E-06,1.58E-05
AC022007.1,-0.070759469,7.63E-08,3.55E-07
MS4A6A,0.18936062,6.69E-13,7.21E-12
CYP2J2,0.073656199,8.95E-05,0.000234816
CRABP2,-0.218179161,9.32E-12,8.35E-11
SFT2D1,0.075102724,6.65E-18,1.61E-16
TPR,-0.046419941,0.000138398,0.000348784
GOT1,0.022228718,0.021724038,0.034971084
STXBP1,-0.100019897,7.82E-16,1.47E-14
PCNP,0.023704715,0.048836001,0.072521533
TXLNA,-0.077347814,4.78E-16,9.33E-15
CNTN4,0.039830649,0.16934365,0.222119163
NUP37,0.039091467,0.002328894,0.004691568
SYNE2,0.006086343,0.613957193,0.670698266
MAP7D1,0.044504744,2.26E-07,9.51E-07
RBM42,0.070448588,1.15E-05,3.58E-05
MED29,0.001585319,0.862800314,0.890219061
CSF1R,0.014893694,0.509072039,0.57104596
MT-CO3,0.134069258,1.94E-10,1.40E-09
AC005261.2,-0.003368369,0.708322381,0.756916415
SLC16A3,0.073958921,2.09E-08,1.09E-07
BRD1,-0.071483731,1.16E-07,5.19E-07
AL359513.1,0.1444963,1.24E-09,7.80E-09
KMT2E,0.074164472,0.000232898,0.000561742
SH3TC1,0.051027215,0.00037625,0.000872159
TNRC6A,0.020635809,0.214094356,0.272801167
LEPR,-0.203814156,7.74E-19,2.15E-17
CRIP1,0.148208435,1.04E-10,7.75E-10
FBXW11,-0.034834756,0.00515708,0.009643008
HCFC2,0.036589101,0.028266284,0.044304521
FAM149B1,-0.005306137,0.610547749,0.667345916
DNAJC10,-0.041888342,0.003789041,0.007292227
ZNF30,-0.007237397,0.53846215,0.598690405
ZNF136,-0.044095042,0.000100422,0.000260701
THAP5,0.028988132,0.004636824,0.008758639
SLC35A5,-0.020241083,0.131834656,0.178251293
SLC22A18,0.17947447,1.50E-11,1.30E-10
OCIAD2,0.105523143,4.87E-08,2.36E-07
RB1CC1,0.111977499,1.10E-09,6.93E-09
LYRM2,0.011582891,0.30623016,0.371188073
GPR153,-0.009224439,0.601828542,0.659032569
HAAO,-0.014194855,0.372744997,0.439328976
CRLF3,-0.017392694,0.039428827,0.059867639
CENPA,0.00185167,0.868097378,0.894576852
MORN1,-0.042137493,0.001509313,0.003141784
BET1,0.04364968,0.000209809,0.000510981
GPATCH1,-0.00558081,0.567965575,0.626478685
ZNF639,0.025512209,0.035205923,0.053980257
AC090241.2,0.097285955,1.01E-06,3.76E-06
RPL31,0.180517102,4.70E-13,5.21E-12
UNC13B,-0.001274567,0.922850097,0.938809864
SLC35F1,0.316822726,6.83E-61,1.71E-57
GPR4,0.028632832,0.140824612,0.188874211
PCGF2,-0.045780353,2.17E-06,7.61E-06
PRKD3,-0.022157995,0.063796563,0.092351713
SLC16A10,0.031618697,0.020716737,0.033559125
GFM2,-0.001201605,0.947039519,0.9587361
CAV1,0.135405479,2.24E-24,1.27E-22
NFATC3,-0.04811203,0.017553464,0.028908867
USP39,-0.023362769,4.22E-05,0.000117673
C6orf226,0.113192139,9.29E-08,4.23E-07
BBS12,0.029692967,0.066460046,0.09584662
ZNF674-AS1,-0.028251025,0.006409121,0.011777143
TMEM186,0.001453084,0.88996136,0.912780882
BBIP1,0.030461646,0.002676916,0.005298725
AURKA,-0.054730707,9.22E-10,5.89E-09
UNC5B,-0.142648081,9.34E-22,3.86E-20
C1QTNF2,0.115840025,4.28E-11,3.42E-10
LINC01515,0.014024299,0.43218066,0.497903987
DZIP1,-0.075078356,1.47E-13,1.80E-12
NPAS3,0.041887738,0.050473509,0.07464287
SIPA1,0.048153683,0.000635976,0.001411398
RPS27A,0.177211878,2.28E-10,1.63E-09
RPL22,0.04933463,2.97E-05,8.50E-05
ACLY,-0.115014029,1.72E-19,5.22E-18
MRPL4,0.070490998,0.00028246,0.000673166
NPM3,-0.005462758,0.752906465,0.796052511
PTPRZ1,-0.045933871,0.118229825,0.16178137
SLC47A1,-0.110657304,6.66E-10,4.38E-09
KLHL21,-0.059888971,2.15E-08,1.11E-07
ELOVL7,-0.019530029,0.302087367,0.367234825
ITGA6,0.037045901,0.025043491,0.039726037
CADPS2,0.067555128,1.74E-05,5.18E-05
PROM1,0.088677798,0.006471577,0.011861396
FYB1,0.118513535,8.89E-06,2.83E-05
REM1,0.0850752,0.000137076,0.000345912
INTS7,-0.03621183,0.000106523,0.000275253
CDH6,0.177136138,1.93E-13,2.30E-12
METTL9,0.011881225,0.237734829,0.298287113
TACO1,0.051466124,1.58E-05,4.75E-05
ATF7,-0.036675087,0.000411641,0.000947173
PDE10A,-0.025219405,0.225803986,0.285265589
LINC01460,0.074999651,6.96E-05,0.000186397
MALT1,-0.008277265,0.446072999,0.511082721
NSUN7,0.035570812,0.001058693,0.002273825
BEST1,-0.030546034,0.1186271,0.162220013
ADHFE1,0.180587735,1.45E-14,2.10E-13
ABITRAM,0.000670442,0.940426823,0.953162532
AJM1,-0.012687283,0.386288265,0.452646197
PTOV1-AS2,-0.095981966,1.20E-07,5.36E-07
CLPB,-0.013141367,0.110833177,0.153030885
AL442125.1,0.02816938,0.284613804,0.347938636
NOX4,0.028813305,0.057326644,0.083835397
YBX2,-0.012465971,0.486724271,0.549350194
FGFR1,-0.072164649,9.36E-15,1.41E-13
NIN,0.077897698,4.85E-09,2.77E-08
LINC00926,-0.076927408,5.43E-05,0.000147349
FOXN3,0.042000749,0.003941312,0.007550406
SOX9-AS1,0.055517904,0.086566798,0.122097035
MADD,-0.063141472,7.88E-07,2.99E-06
ABHD4,-0.021295512,0.024529502,0.039022434
TM9SF4,-0.061084891,9.72E-12,8.68E-11
TMEM163,-0.020809407,0.242579547,0.303527962
LINC00909,0.02462685,0.002272495,0.004585342
TTC17,-0.039277906,4.13E-08,2.04E-07
CARD6,-0.034306152,0.014212292,0.024007249
TOMM34,-0.057510656,1.12E-07,5.03E-07
ZNF316,-0.035362938,0.006967326,0.012667866
AL034548.2,0.102306034,5.29E-05,0.000143803
ARMCX3,0.005170663,0.566455353,0.62508867
CDH8,0.077055818,7.00E-05,0.000187293
SLC39A6,-0.033862064,0.013474852,0.022916415
SLC6A6,-0.058781736,0.020070291,0.032624011
RAB29,0.067637801,1.54E-05,4.63E-05
CAD,-0.133783611,4.01E-20,1.34E-18
C9orf85,0.014917261,0.120261892,0.164202474
MTMR9,0.030560419,0.001964062,0.00399687
ZC3HAV1,0.062142736,8.63E-13,9.16E-12
ALDH3A2,-0.033699331,3.89E-08,1.93E-07
C19orf66,0.09242621,6.24E-08,2.96E-07
PPARGC1A,0.044434698,0.000561944,0.001258272
RAB23,-0.08231708,0.007200227,0.01304389
KRT8P12,0.019942784,0.174472523,0.228247675
ZNF578,-0.004253797,0.78792074,0.826779371
PGK1,0.002424288,0.789701631,0.828300431
SH3TC2,0.092618679,1.53E-05,4.62E-05
PRDM15,-0.089488234,1.05E-09,6.67E-09
PDCD4,-0.029717461,0.001490273,0.003106029
MATR3,0.007393286,0.636133903,0.689950003
KIF15,-0.028073057,0.021544104,0.03473735
MED31,0.083765905,9.39E-06,2.97E-05
GTF3A,0.115699211,1.31E-16,2.71E-15
MCCC1,0.024867209,0.008481031,0.015128488
SLC35B2,0.049463204,5.58E-09,3.14E-08
GRAMD4,-0.037919959,0.00281871,0.005561779
GDI2,-0.012591898,0.289721421,0.353663845
UBE2D2,0.025848413,0.000717952,0.001581391
CRELD2,0.044620986,0.003058162,0.005996396
CLTC,-0.003453674,0.805647576,0.842022968
CHAF1A,-0.086958134,3.94E-10,2.71E-09
CASP2,-0.067426627,8.99E-08,4.11E-07
GFER,0.075964218,3.64E-05,0.000102679
ITIH5,0.036327516,0.047738895,0.071040023
MAGEF1,-0.005980118,0.47556894,0.538949388
TRIP4,0.030526529,0.000656848,0.001453205
NGRN,-0.039900323,0.030875573,0.048062846
SCFD2,-0.015647925,0.085204882,0.120311893
TAPT1,0.057062654,4.47E-11,3.55E-10
GALNT5,0.01318738,0.505197842,0.567510494
LDHD,0.255824911,2.25E-41,9.36E-39
KATNBL1,0.021806942,0.024707858,0.039281174
USP3-AS1,0.048264626,0.008016154,0.014376173
WDTC1,-0.014494043,0.161916062,0.213496917
DPPA4,-0.226815739,5.40E-23,2.62E-21
SEC61B,0.109244634,4.39E-08,2.15E-07
WDR36,-0.00046433,0.975559592,0.981250847
HS3ST3B1,0.130999165,4.54E-09,2.60E-08
ZNF232,-0.02649691,0.307283602,0.3723747
CCDC7,0.047492772,0.013095629,0.022370394
TBX3,-0.162406977,4.63E-19,1.36E-17
