"chr","start","end"
"chr17",48997417,48997917
"chr6",117455925,117456425
"chr5",172323941,172324441
"chr17",4583189,4583689
"chr1",29237753,29238253
"chr9",129884672,129885172
"chr4",20253210,20253710
"chr4",2060589,2061089
"chr2",25229222,25229722
"chr11",61754761,61755261
"chr17",41815397,41815897
"chr19",29811808,29812308
"chr1",29237978,29238478
"chr3",15447321,15447821
"chr16",1151977,1152477
"chr1",43991759,43992259
"chr17",79778672,79779172
"chr16",1152095,1152595
"chr13",26556737,26557237
"chr1",160114723,160115223
"chr3",109326162,109326662
"chr7",101365573,101366073
"chr13",26559824,26560324
"chr7",2634017,2634517
"chr3",13316020,13316520
"chr11",69640407,69640907
"chr6",85448241,85448741
"chr17",55717821,55718321
"chr1",46246331,46246831
"chr12",44508454,44508954
"chr17",1518714,1519214
"chr7",105440742,105441242
"chr8",27634820,27635320
"chr21",31117571,31118071
"chr1",46248146,46248646
"chr15",89575546,89576046
"chr3",15451577,15452077
"chr16",23836859,23837359
"chrX",132024063,132024563
"chr9",86023965,86024465
"chr5",34657418,34657918
"chr3",101826952,101827452
"chr11",61755021,61755521
"chr15",88622358,88622858
"chr10",69803727,69804227
"chr6",107063877,107064377
"chr19",16110863,16111363
"chr17",79930354,79930854
"chr1",206507271,206507771
"chr20",62461065,62461565
"chr4",4349039,4349539
"chr20",62816222,62816722
"chr10",69803417,69803917
"chr6",20403784,20404284
"chr1",21218496,21218996
"chr17",8475520,8476020
"chr10",71215005,71215505
"chr9",87496023,87496523
"chr1",38990579,38991079
"chr5",83637808,83638308
"chr12",47973220,47973720
"chr10",100348743,100349243
"chr22",21417043,21417543
"chr3",48154275,48154775
"chr6",34238703,34239203
"chr15",75464672,75465172
"chr1",206469409,206469909
"chr8",121612671,121613171
"chr2",25228406,25228906
"chr9",78296091,78296591
"chr7",105437347,105437847
"chr17",42825003,42825503
"chr6",1612367,1612867
"chr17",62967120,62967620
"chr19",8064866,8065366
"chr10",71211080,71211580
"chr6",43076271,43076771
"chr9",113877370,113877870
"chr15",80777889,80778389
"chr21",31116746,31117246
"chr10",119727844,119728344
"chrX",71255085,71255585
"chr14",70641583,70642083
"chr4",108047031,108047531
"chr13",26558160,26558660
"chr13",26557594,26558094
"chr1",38991445,38991945
"chr1",156720964,156721464
"chr19",8065553,8066053
"chr9",86023612,86024112
"chr17",73332614,73333114
"chr4",2058497,2058997
"chr17",50560916,50561416
"chr6",142301437,142301937
"chr6",89096701,89097201
"chr9",78296797,78297297
"chr12",74537883,74538383
"chr5",168291271,168291771
"chr20",6769594,6770094
"chr4",2061148,2061648
"chr3",48154860,48155360
"chr6",43076469,43076969
"chr1",154153391,154153891
"chr13",38687825,38688325
"chr4",4348030,4348530
"chr10",71212987,71213487
"chr1",64469505,64470005
"chr2",11484307,11484807
"chr1",52682738,52683238
"chr10",100347525,100348025
"chr3",152834127,152834627
"chr7",101365127,101365627
"chr8",121612548,121613048
"chr7",105439052,105439552
"chr3",109324063,109324563
"chr9",129887425,129887925
"chr5",34655580,34656080
"chr6",89094791,89095291
"chr5",150295608,150296108
"chr17",41814335,41814835
"chr10",100349997,100350497
"chr5",122310242,122310742
"chr2",205684113,205684613
"chrX",132025509,132026009
"chr8",103154480,103154980
"chr19",16114400,16114900
"chr4",4347696,4348196
"chr1",43992304,43992804
"chr12",74537716,74538216
"chr10",106571778,106572278
"chr21",31119602,31120102
"chr7",41959222,41959722
"chr1",89180692,89181192
"chr10",106570949,106571449
"chr2",96337313,96337813
"chr3",109323564,109324064
"chr6",43521914,43522414
"chr3",13314443,13314943
"chrX",9786843,9787343
"chr5",76718618,76719118
"chr1",47216192,47216692
"chr8",125429944,125430444
"chr1",21593570,21594070
"chr10",121475421,121475921
"chr6",85449708,85450208
"chr10",22532951,22533451
"chr18",316247,316747
"chr20",32191897,32192397
"chr11",125624748,125625248
"chr1",46246089,46246589
"chr1",149929247,149929747
"chr5",168290746,168291246
"chr7",41959505,41960005
"chr1",21216548,21217048
"chr11",35943832,35944332
"chr15",88624251,88624751
"chr1",46246240,46246740
"chr9",87499003,87499503
"chr19",798011,798511
"chr7",150992795,150993295
"chr13",26559353,26559853
"chr14",70641000,70641500
"chr2",205684328,205684828
"chr4",2060331,2060831
"chr5",172325238,172325738
"chr11",125627497,125627997
"chr6",34237160,34237660
"chr15",80780368,80780868
"chr6",1611077,1611577
"chr7",41959657,41960157
"chr1",156722401,156722901
"chr3",129975853,129976353
"chr7",2634877,2635377
"chr6",107062238,107062738
"chr16",64942073,64942573
"chr17",42823846,42824346
"chr16",46689010,46689510
"chr17",73332209,73332709
"chr20",6769975,6770475
"chr9",114333457,114333957
"chr19",19388768,19389268
"chr1",46248495,46248995
"chr15",66702012,66702512
"chr9",131008918,131009418
"chr22",21417303,21417803
"chr17",79779024,79779524
"chr14",76762535,76763035
"chr10",69804722,69805222
"chr2",215359592,215360092
"chr18",10455832,10456332
"chr6",2887895,2888395
"chr5",32691202,32691702
"chr14",69852794,69853294
"chr15",65532405,65532905
"chr21",33642674,33643174
"chr12",74538654,74539154
"chr1",201484016,201484516
"chr7",105439576,105440076
"chr3",184560300,184560800
"chr7",150991359,150991859
"chr9",128454974,128455474
"chr1",46246891,46247391
"chr6",142303227,142303727
"chr19",798122,798622
"chr21",43660857,43661357
"chr1",47214847,47215347
"chr1",21214794,21215294
"chr9",113878396,113878896
"chr3",48154489,48154989
"chr15",89577788,89578288
"chr15",65530550,65531050
"chr6",2884566,2885066
"chr6",2885778,2886278
"chr6",43078187,43078687
"chr20",62461755,62462255
"chr2",68860819,68861319
"chr12",65827450,65827950
"chr6",34237111,34237611
"chr17",73333922,73334422
"chr16",1154683,1155183
"chr10",123705726,123706226
"chr14",69855255,69855755
"chr6",43521671,43522171
"chr7",2631393,2631893
"chr3",139934415,139934915
"chr19",798803,799303
"chr1",167723116,167723616
"chr16",46688807,46689307
"chr15",75463564,75464064
"chr3",129976805,129977305
"chr2",218712983,218713483
"chr1",206471343,206471843
"chr4",1793039,1793539
"chr5",32688658,32689158
"chr16",51136209,51136709
"chr5",147387877,147388377
"chr11",35945988,35946488
"chrX",71255908,71256408
"chr1",53242541,53243041
"chr11",69639996,69640496
"chr4",2058407,2058907
"chr9",78296238,78296738
"chr9",36037618,36038118
"chr2",215361443,215361943
"chr17",8473516,8474016
"chr2",25227895,25228395
"chr1",156722456,156722956
"chr9",114333906,114334406
"chr11",125626150,125626650
"chr9",136795809,136796309
"chr5",83634865,83635365
"chr6",117452401,117452901
"chr16",1152983,1153483
"chr4",2060830,2061330
"chr12",74536359,74536859
"chr3",101830027,101830527
"chr14",24401798,24402298
"chr13",39010156,39010656
"chr3",185640875,185641375
"chr9",97030284,97030784
"chr1",149901551,149902051
"chr6",47232851,47233351
"chr16",56732689,56733189
"chr9",115019970,115020470
"chr3",129974580,129975080
"chr9",36039356,36039856
"chr21",45408109,45408609
"chr4",4348526,4349026
"chr3",15447802,15448302
"chr21",43660125,43660625
"chr14",69855535,69856035
"chr1",160401544,160402044
"chr1",43989667,43990167
"chr5",168290787,168291287
"chr5",32688019,32688519
"chr14",69855350,69855850
"chr5",32688758,32689258
"chr9",36038821,36039321
"chr21",33645251,33645751
"chr5",147388681,147389181
"chr17",62968251,62968751
"chr7",33903952,33904452
"chr1",917162,917662
"chr6",34238107,34238607
"chrX",2831473,2831973
"chr7",105438171,105438671
"chr1",64471192,64471692
"chr2",68859916,68860416
"chr1",149901450,149901950
"chr10",69801077,69801577
"chr16",23837435,23837935
"chr5",83635849,83636349
"chr10",119725075,119725575
"chr10",22533810,22534310
"chr21",43660229,43660729
"chr9",115017769,115018269
"chr21",31115977,31116477
"chr17",79780610,79781110
"chr1",53241607,53242107
"chr1",89182178,89182678
"chr18",10457467,10457967
"chr5",147389567,147390067
"chr1",64471942,64472442
"chr1",29235800,29236300
"chrX",71255488,71255988
"chr1",21216443,21216943
"chr19",8062866,8063366
"chr5",168662160,168662660
"chr20",62818177,62818677
"chr19",4904379,4904879
"chrX",2831166,2831666
"chr3",139936251,139936751
"chr22",21417091,21417591
"chr5",76715173,76715673
"chr10",71213339,71213839
"chr13",39007459,39007959
"chr1",28504875,28505375
"chr11",61752226,61752726
"chr11",119094289,119094789
"chr12",47973765,47974265
"chr16",28259381,28259881
"chr17",4583333,4583833
"chr1",160401663,160402163
"chr8",103150873,103151373
"chr1",156721883,156722383
"chr17",4584322,4584822
"chr1",46247957,46248457
"chr1",53241958,53242458
"chr1",29237144,29237644
"chr17",73334957,73335457
"chr2",25229261,25229761
"chr20",32193733,32194233
"chr15",41559888,41560388
"chr4",4350403,4350903
"chr3",10028834,10029334
"chr16",1152316,1152816
"chr2",96337116,96337616
"chr21",33642823,33643323
"chr9",86024067,86024567
"chr1",206473166,206473666
"chr5",34655342,34655842
"chr4",20250923,20251423
"chr14",70644819,70645319
"chr7",41962315,41962815
"chr4",108044726,108045226
"chr9",71684470,71684970
"chr16",87829664,87830164
"chr17",79933824,79934324
"chr14",24398942,24399442
"chr3",48154619,48155119
"chr2",205681818,205682318
"chr7",75531330,75531830
"chr3",184561162,184561662
"chr5",168659435,168659935
"chr17",42754212,42754712
"chr2",205683823,205684323
"chr4",108046872,108047372
"chr21",45405297,45405797
"chr1",47214194,47214694
"chr10",121476355,121476855
"chr9",86023465,86023965
"chr1",167721053,167721553
"chr13",26559992,26560492
"chr15",65530172,65530672
"chr1",64472959,64473459
"chr1",917624,918124
"chr16",1152279,1152779
"chr1",43989822,43990322
"chr1",89182208,89182708
"chr3",101828497,101828997
"chr1",917721,918221
"chr16",46690732,46691232
"chr16",51136880,51137380
"chr9",87497584,87498084
"chr6",47228660,47229160
"chr17",42753290,42753790
"chr7",105438705,105439205
"chr9",128457643,128458143
"chr20",32192594,32193094
"chrX",71255527,71256027
"chr1",46248027,46248527
"chr3",196936048,196936548
"chr1",916249,916749
"chr1",46246353,46246853
"chr9",36035563,36036063
"chr11",69640174,69640674
"chr3",129975271,129975771
"chr17",42823668,42824168
"chr12",65826937,65827437
"chr19",4904223,4904723
"chr3",15449659,15450159
"chr1",46247764,46248264
"chr1",206471964,206472464
"chr16",1153160,1153660
"chr6",34238799,34239299
"chr22",27850367,27850867
"chr6",20401482,20401982
"chr17",8474176,8474676
"chr3",129977019,129977519
"chr1",21214360,21214860
"chr1",149900596,149901096
"chr1",46246018,46246518
"chr1",89178222,89178722
"chr20",62461764,62462264
"chr18",10456905,10457405
"chr21",45407105,45407605
"chr19",798730,799230
"chr1",52682210,52682710
"chr8",121612769,121613269
"chr3",101830254,101830754
"chr3",101828198,101828698
"chr17",4584005,4584505
"chr5",32691394,32691894
"chr3",186045927,186046427
"chr6",43520564,43521064
"chr16",1151798,1152298
"chr16",56731372,56731872
"chr6",2886502,2887002
"chr9",71682796,71683296
"chr6",34239663,34240163
"chr17",50559638,50560138
"chr10",13160635,13161135
"chr5",76613554,76614054
"chr16",1154456,1154956
"chr2",1630503,1631003
"chr20",62818074,62818574
"chr16",56729347,56729847
"chr20",62815335,62815835
"chr3",13314882,13315382
"chr16",68638249,68638749
"chr15",41558837,41559337
"chr8",125432516,125433016
"chr15",88619873,88620373
"chr1",160118070,160118570
"chr16",51135045,51135545
"chr18",72534320,72534820
"chr12",47972676,47973176
"chr12",44507481,44507981
"chr3",186046156,186046656
"chr17",44926129,44926629
"chr15",65531907,65532407
"chr15",80779437,80779937
"chr1",40980455,40980955
"chr9",91564573,91565073
"chr16",87830623,87831123
"chr2",1632095,1632595
"chr3",109326335,109326835
"chr2",215360589,215361089
"chr10",106574468,106574968
"chr17",62968678,62969178
"chr1",43990158,43990658
"chr10",121479507,121480007
"chr17",44924620,44925120
"chr9",129884695,129885195
"chr3",129975156,129975656
"chr1",167720984,167721484
"chr6",1609079,1609579
"chr21",45406896,45407396
"chr15",75462283,75462783
"chr11",125625973,125626473
"chr13",39009012,39009512
"chr6",25281357,25281857
"chr7",101362117,101362617
"chr11",61751592,61752092
"chr14",70642403,70642903
"chr1",154156120,154156620
"chr18",315770,316270
"chr1",40979031,40979531
"chr3",15450607,15451107
"chr3",196933503,196934003
"chr7",105436953,105437453
"chr18",10455379,10455879
"chr5",34658983,34659483
"chr8",125431286,125431786
"chr9",129887787,129888287
"chr3",10027119,10027619
"chr13",39006969,39007469
"chr19",36712365,36712865
"chr1",64469446,64469946
"chr3",152833700,152834200
"chr12",47972658,47973158
"chr9",131010598,131011098
"chr5",150297291,150297791
"chr8",27636693,27637193
"chr10",106572185,106572685
"chr20",2795476,2795976
"chr1",149927587,149928087
"chr17",55719552,55720052
"chr11",61754534,61755034
"chr1",206510059,206510559
"chr6",20403431,20403931
"chr17",42825734,42826234
"chr10",121478258,121478758
"chr6",43519344,43519844
"chr9",71680853,71681353
"chr7",75531649,75532149
"chr17",4582568,4583068
"chr10",22533350,22533850
"chr15",89576723,89577223
"chr12",44505815,44506315
"chr10",69802905,69803405
"chr6",85448482,85448982
"chr10",106572165,106572665
"chr9",136493741,136494241
"chr17",44922341,44922841
"chr12",47970788,47971288
"chr1",46247084,46247584
"chr6",85452324,85452824
"chr3",152834741,152835241
"chr1",47215291,47215791
"chr10",100347778,100348278
"chr15",101175859,101176359
"chr8",27636573,27637073
"chr14",69852759,69853259
"chr2",11480883,11481383
"chr3",196934051,196934551
"chr1",64469219,64469719
"chr20",62460640,62461140
"chr15",75464448,75464948
"chr15",41559130,41559630
"chr9",36039514,36040014
"chr1",47214833,47215333
"chr4",20254886,20255386
"chr19",39413565,39414065
"chr21",45406936,45407436
"chr1",201484778,201485278
"chr11",125624471,125624971
"chr10",89430105,89430605
"chr1",206470714,206471214
"chr3",152834993,152835493
"chr3",196934695,196935195
"chr9",131012097,131012597
"chr17",79779742,79780242
"chr10",123704361,123704861
"chr11",119096473,119096973
"chr8",125429534,125430034
"chr9",115017260,115017760
"chr20",62463569,62464069
"chr20",32190021,32190521
"chr8",27635081,27635581
"chr9",131008329,131008829
"chr2",96337868,96338368
"chr1",64469469,64469969
"chr15",80780606,80781106
"chr17",79929716,79930216
"chr2",215357511,215358011
"chr18",318045,318545
"chr1",206471753,206472253
"chr10",89430293,89430793
"chr9",131008857,131009357
"chr7",69597791,69598291
"chr15",89575341,89575841
"chr1",157992734,157993234
"chr7",101362171,101362671
"chr2",25226788,25227288
"chr5",76613429,76613929
"chr21",33641106,33641606
"chr9",113222868,113223368
"chr5",76715482,76715982
"chr9",136493171,136493671
"chr5",32687908,32688408
"chr7",69601292,69601792
"chr6",1610560,1611060
"chr17",50561728,50562228
"chr15",41557864,41558364
"chr10",121477573,121478073
"chrX",2830400,2830900
"chr10",22534052,22534552
"chr17",8473177,8473677
"chr19",799288,799788
"chr1",43990166,43990666
"chr17",55718444,55718944
"chr3",101829248,101829748
"chr14",24398938,24399438
"chr1",157991952,157992452
"chr14",24401881,24402381
"chr3",152835260,152835760
"chr3",48158319,48158819
"chr14",76761459,76761959
"chr2",1629994,1630494
"chr11",77067354,77067854
"chr16",87827421,87827921
"chr1",167723880,167724380
"chr1",160116513,160117013
"chr17",42751318,42751818
"chr14",69854340,69854840
"chr4",108045447,108045947
"chr5",34657836,34658336
"chr22",27852489,27852989
"chr17",62966917,62967417
"chr8",103154465,103154965
"chr16",64944996,64945496
"chr8",103154659,103155159
"chr9",87496381,87496881
"chr9",113220855,113221355
"chr3",129975112,129975612
"chr1",43991924,43992424
"chr1",29236182,29236682
"chr22",27850333,27850833
"chr6",82362658,82363158
"chr15",88623972,88624472
"chr5",32689100,32689600
"chr14",76761858,76762358
"chr8",125432071,125432571
"chr17",8473964,8474464
"chr2",96337368,96337868
"chr1",149903584,149904084
"chr1",43990358,43990858
"chr3",152834287,152834787
"chr1",156719837,156720337
"chr9",113220405,113220905
"chr5",122313282,122313782
"chr14",69855054,69855554
"chr1",157993738,157994238
"chr7",2633618,2634118
"chr6",2887271,2887771
"chr22",27849875,27850375
"chr9",131009961,131010461
"chr1",206472616,206473116
"chr3",133930231,133930731
"chr1",168079012,168079512
"chr20",62460611,62461111
"chr15",41559904,41560404
"chr15",88620928,88621428
"chr17",62964853,62965353
"chr5",76612487,76612987
"chr10",13163370,13163870
"chr1",160400038,160400538
"chr5",83635613,83636113
"chr10",119726186,119726686
"chr11",119093545,119094045
"chr7",69600537,69601037
"chr6",2884550,2885050
"chr17",42824023,42824523
"chr15",101176296,101176796
"chr21",43659408,43659908
"chr10",119729025,119729525
"chr10",100347670,100348170
"chr1",201483252,201483752
"chrX",71254159,71254659
"chr5",32690715,32691215
"chr6",85448262,85448762
"chr19",29813028,29813528
"chr19",4905944,4906444
"chr19",39411507,39412007
"chr14",24401802,24402302
"chr14",69856439,69856939
"chr17",79780919,79781419
"chr14",70643067,70643567
"chrX",2830385,2830885
"chr9",36038372,36038872
"chr1",206507669,206508169
"chr10",15513656,15514156
"chr5",76616555,76617055
"chr5",150293497,150293997
"chr20",6768343,6768843
"chr6",89094343,89094843
"chr7",150990466,150990966
"chr6",1609923,1610423
"chrX",71254318,71254818
"chr9",131011427,131011927
"chr3",48156049,48156549
"chr6",43079066,43079566
"chr15",41560411,41560911
"chr3",184561860,184562360
"chr3",139935385,139935885
"chr10",121477651,121478151
"chr17",73335377,73335877
"chr3",10027146,10027646
"chr21",31119708,31120208
"chr8",125432800,125433300
"chr3",15448902,15449402
"chr5",83637217,83637717
"chr16",64943546,64944046
"chr11",77069451,77069951
"chr3",15449718,15450218
"chr6",89095905,89096405
"chr11",119095251,119095751
"chr1",64471695,64472195
"chr1",52682714,52683214
"chr19",39411298,39411798
"chr3",133933305,133933805
"chr9",86025542,86026042
"chr1",40978076,40978576
"chr5",150297790,150298290
"chr9",113222214,113222714
"chr5",168662411,168662911
"chr12",74537308,74537808
"chr4",4350900,4351400
"chr10",106571935,106572435
"chr8",27635477,27635977
"chr3",186047452,186047952
"chr7",2633729,2634229
"chr8",121612825,121613325
"chr9",36035464,36035964
"chr5",76614558,76615058
"chr16",51137147,51137647
"chr4",20251316,20251816
"chr3",101830732,101831232
"chr12",47973201,47973701
"chr1",38994192,38994692
"chr15",88624127,88624627
"chr16",87830723,87831223
"chr9",86026189,86026689
"chr1",167723051,167723551
"chr17",1516369,1516869
"chr6",82362207,82362707
"chr1",167720523,167721023
"chr1",156721339,156721839
"chr16",51135105,51135605
"chr1",40979212,40979712
"chr15",66700933,66701433
"chr6",34235735,34236235
"chr3",184561287,184561787
"chr8",27634433,27634933
"chr16",56729268,56729768
"chr15",66701034,66701534
"chr22",21419272,21419772
"chr6",89094036,89094536
"chr2",205684730,205685230
"chr17",62968891,62969391
"chr7",69597035,69597535
"chr1",21214391,21214891
"chr16",51133264,51133764
"chr9",129885729,129886229
"chr16",28261411,28261911
"chr9",129885214,129885714
"chr5",76718285,76718785
"chr1",226551018,226551518
"chr11",125167352,125167852
"chrX",9785306,9785806
"chr17",1516720,1517220
"chr3",10025025,10025525
"chr16",1154819,1155319
"chrX",2831742,2832242
"chr17",79931598,79932098
"chr1",40979086,40979586
"chr19",19386178,19386678
"chr4",108047786,108048286
"chr10",22532599,22533099
"chr1",28505221,28505721
"chr5",147390823,147391323
"chr9",87495927,87496427
"chr17",48996412,48996912
"chr5",83638170,83638670
"chr1",47215490,47215990
"chr3",139935777,139936277
"chr3",196934452,196934952
"chr5",147389918,147390418
"chr8",103151357,103151857
"chr1",29236788,29237288
"chr10",71215401,71215901
"chr2",11484692,11485192
"chr4",108047413,108047913
"chr17",42823196,42823696
"chr19",36713962,36714462
"chrX",9787724,9788224
"chr21",45493423,45493923
"chr15",75464746,75465246
"chr1",157991840,157992340
"chr1",168080996,168081496
"chr12",47973171,47973671
"chr6",43075720,43076220
"chr16",56732453,56732953
"chr6",2885172,2885672
"chr17",1514905,1515405
"chr8",121610738,121611238
"chr1",89181285,89181785
"chr10",100349563,100350063
"chr10",121476397,121476897
"chr9",113223092,113223592
"chr10",5411817,5412317
"chr17",50110194,50110694
"chr2",218710218,218710718
"chr7",75530869,75531369
"chr6",82362368,82362868
"chr16",1151809,1152309
"chr17",62965058,62965558
"chr20",62462425,62462925
"chr2",11481983,11482483
"chr17",44925140,44925640
"chr17",62967039,62967539
"chr20",2791229,2791729
"chr1",64469528,64470028
"chr11",125626817,125627317
"chr6",20402538,20403038
"chr18",315836,316336
"chr9",129885038,129885538
"chr1",47215396,47215896
"chr17",44924715,44925215
"chr17",62968303,62968803
"chr1",160399197,160399697
"chr1",916574,917074
"chr10",5412851,5413351
"chr17",55718138,55718638
"chr5",34655608,34656108
"chr3",15447954,15448454
"chr9",115019999,115020499
"chr13",38685619,38686119
"chr8",103152340,103152840
"chr22",21415927,21416427
"chr20",32190505,32191005
"chrX",132025529,132026029
"chr3",129974227,129974727
"chr16",64942784,64943284
"chr8",103152296,103152796
"chr3",10028105,10028605
"chr7",2634633,2635133
"chrX",15465852,15466352
"chrX",15463697,15464197
"chr4",1794486,1794986
"chr19",799269,799769
"chr3",133931392,133931892
"chr10",89427346,89427846
"chr1",43991504,43992004
"chr9",128456394,128456894
"chr6",47232427,47232927
"chr14",69853899,69854399
"chr8",121610045,121610545
"chr10",22535719,22536219
"chr20",32191210,32191710
"chr5",76717219,76717719
"chr4",2060012,2060512
"chr1",160403265,160403765
"chr15",89576634,89577134
"chrX",132023962,132024462
"chr15",80780860,80781360
"chr7",69597925,69598425
"chr2",205681138,205681638
"chr6",43519944,43520444
"chr4",110045019,110045519
"chr11",125164694,125165194
"chr9",87498080,87498580
"chr11",35945246,35945746
"chr22",27849754,27850254
"chr10",15513566,15514066
"chr3",184560764,184561264
"chr17",55717632,55718132
"chr1",21218716,21219216
"chr16",46689410,46689910
"chr4",20252635,20253135
"chr7",75531147,75531647
"chr17",8475224,8475724
"chr1",160115152,160115652
"chr17",42825064,42825564
"chr1",47213650,47214150
"chr1",201483822,201484322
"chr17",79933230,79933730
"chr15",41557335,41557835
"chr7",75530855,75531355
"chr6",85451662,85452162
"chr16",87830977,87831477
"chr1",89180859,89181359
"chr19",796198,796698
"chr16",68637165,68637665
"chr1",21215254,21215754
"chr4",1791851,1792351
"chr12",47972801,47973301
"chrX",2830518,2831018
"chr1",168079731,168080231
"chr14",69854299,69854799
"chr1",89179135,89179635
"chr6",89096450,89096950
"chr17",8472783,8473283
"chrX",132023824,132024324
"chr10",22533587,22534087
"chr16",51136220,51136720
"chr17",62968258,62968758
"chr6",47228723,47229223
"chr6",47230779,47231279
"chr3",186046198,186046698
"chr18",10457428,10457928
"chr20",2791380,2791880
"chr16",28257808,28258308
"chr9",113875061,113875561
"chr9",113221638,113222138
"chr10",15514172,15514672
"chr1",43990658,43991158
"chr1",29238693,29239193
"chr20",62460958,62461458
"chr3",48158248,48158748
"chr21",33644881,33645381
"chr5",147390745,147391245
"chr17",73335578,73336078
"chr9",115019860,115020360
"chr19",8063085,8063585
"chr9",114332599,114333099
"chr19",29813228,29813728
"chr9",115017898,115018398
"chr7",69600195,69600695
"chr20",62463967,62464467
"chr5",150295929,150296429
"chr1",53242106,53242606
"chr18",316644,317144
"chr7",101364817,101365317
"chr16",51135076,51135576
"chr22",21416844,21417344
"chr7",150991507,150992007
"chr17",4586060,4586560
"chr3",13314644,13315144
"chr1",156722582,156723082
"chr1",157993335,157993835
"chr7",105439326,105439826
"chr16",51133524,51134024
"chrX",71256641,71257141
"chr5",34658860,34659360
"chr2",68859531,68860031
"chr9",115018867,115019367
"chr5",147390437,147390937
"chr11",119094743,119095243
"chr8",121611875,121612375
"chr9",128455035,128455535
"chr19",16111334,16111834
"chr11",125165347,125165847
"chr7",33904553,33905053
"chr16",87831254,87831754
"chr9",115016934,115017434
"chr10",15511925,15512425
"chr4",108047904,108048404
"chr17",1516917,1517417
"chr17",79779146,79779646
"chr17",50108860,50109360
"chr15",66703757,66704257
"chr8",18699091,18699158
"chr4",83358525,83358681
"chr19",51169014,51169090
"chr12",2411185,2411271
"chr12",110280887,110281436
"chr20",23604745,23604820
"chrX",119943280,119943468
"chr6",136250211,136250590
"chr7",73443605,73443847
"chr1",61914957,61915019
"chr19",9075321,9075502
"chr7",22565614,22565699
"chr2",47016546,47016777
"chr5",55712312,55712614
"chr9",115653467,115653524
"chr18",5097200,5097279
"chr4",76687837,76687993
"chr6",99353297,99353354
"chr6",41451197,41451290
"chr1",99004970,99005118
"chr15",38556158,38556299
"chr10",102432509,102432805
"chr15",38894336,38894588
"chr5",56157273,56157625
"chr22",39428639,39429051
"chr16",81668497,81668561
"chr2",12931312,12931445
"chrX",45351648,45351718
"chr6",33752488,33752544
"chr18",70464849,70464978
"chr22",29432108,29432248
"chr1",80907469,80907544
"chr6",84064852,84064944
"chr8",37961996,37962512
"chr12",66539102,66539311
"chr2",79083091,79083329
"chr5",138450026,138450253
"chr8",143281637,143281859
"chr10",30083294,30083360
"chr3",151227810,151227983
"chr7",115075273,115075429
"chr13",80141253,80141509
"chr4",36738018,36738157
"chr5",172978907,172978964
"chr6",19180536,19180601
"chr1",2189472,2189860
"chr10",72060562,72060676
"chr4",98626462,98626537
"chr1",3796454,3796679
"chr8",137492989,137493099
"chr2",6069431,6069590
"chr7",66957729,66957858
"chrX",135066330,135066490
"chr12",73544071,73544143
"chr2",38376754,38376862
"chr10",23370204,23370471
"chr15",70670038,70670437
"chr3",72746890,72747040
"chr4",24171552,24171638
"chrX",123899867,123899952
"chr3",114093769,114093853
"chr6",127201452,127201654
"chr10",6239222,6239587
"chr17",28525177,28525388
"chr1",230625467,230625635
"chr20",50743212,50743289
"chr3",52685886,52686118
"chr10",114058431,114058646
"chr19",13621618,13621693
"chr14",73752546,73752629
"chr2",15673771,15673839
"chr6",126039379,126039497
"chr3",193230821,193230890
"chr1",201408637,201408809
"chr5",91176427,91176579
"chr7",79506548,79506809
"chr10",112919738,112919949
"chr10",129495724,129496054
"chr5",132387742,132388092
"chr1",222043517,222043842
"chr2",195613949,195614276
"chr20",54273224,54273298
"chr1",181105199,181105709
"chr6",34887955,34888190
"chr17",36283449,36283532
"chr15",42045397,42045604
"chr16",85902693,85902823
"chr12",20451873,20452051
"chr7",100163236,100163307
"chr15",96619349,96619551
"chr5",149434516,149434604
"chr19",31332285,31332392
"chr1",148724147,148724273
"chr1",109792192,109792391
"chr1",154182371,154182454
"chr19",21835828,21835994
"chr2",125959067,125959388
"chr3",109685481,109685646
"chr21",24896570,24896749
"chr6",5851405,5851480
"chr12",1781864,1782087
"chr1",91021684,91021839
"chr9",128203281,128203471
"chr10",123854202,123854319
"chr11",45853982,45854216
"chr14",63221364,63221421
"chr13",102596253,102596363
"chr5",87268193,87268267
"chr3",126746344,126746868
"chr1",3715023,3715079
"chr3",71109615,71109804
"chr15",59830178,59830286
"chr6",33431073,33431216
"chr13",42875972,42876069
"chr6",119110888,119111036
"chr15",33111069,33111135
"chr14",73232430,73232783
"chr1",202810637,202811006
"chr17",82534491,82534575
"chr15",72615605,72615749
"chr19",10380443,10380896
"chr17",1515759,1515890
"chr17",81552667,81552749
"chr1",152871455,152871574
"chr15",70088562,70088700
"chr1",14437011,14437306
"chr2",218186403,218186519
"chr15",62432996,62433077
"chr2",216412247,216412496
"chr13",31048684,31048739
"chr6",126228262,126228358
"chr6",92538404,92538510
"chr5",177006446,177006941
"chr3",28799272,28799343
"chr2",30611656,30611914
"chr17",31517732,31517799
"chr6",79078154,79078621
"chr2",19462327,19462417
"chr9",41663647,41663779
"chr2",151303147,151303234
"chr11",122556695,122556875
"chr19",10701349,10701500
"chr17",38821683,38821751
"chr1",183724527,183724922
"chr8",101690768,101690995
"chr12",122500253,122500316
"chr2",169670318,169670378
"chr22",27391565,27391626
"chr11",18634279,18634636
"chr22",28074555,28074840
"chr7",1670013,1670127
"chr13",54267177,54267578
"chr19",31096141,31096365
"chr4",57048750,57048825
"chr4",38672371,38672480
